week_index;year;monday;total;0_30;30_35;35_40;40_45;45_50;50_55;55_60;60_65;65_70;70_75;75_80;80_85;85_90;90_95;gt_95
1;2010;04.01.10;17560;144;50;71;196;357;501;694;785;1292;1978;2437;3192;3386;1505;972
2;2010;11.01.10;17776;139;42;86;167;322;510;635;831;1376;2071;2362;3166;3423;1581;1065
3;2010;18.01.10;17309;167;57;81;178;307;462;626;788;1295;1947;2351;3165;3422;1471;992
4;2010;25.01.10;17455;159;41;100;174;308;469;685;769;1288;2052;2428;3153;3306;1549;974
5;2010;01.02.10;17590;153;48;88;160;307;431;681;760;1384;2057;2396;3078;3507;1516;1024
6;2010;08.02.10;17701;159;40;77;197;336;494;708;770;1380;2061;2378;3248;3302;1601;950
7;2010;15.02.10;18077;156;43;79;167;339;493;682;798;1322;2063;2411;3380;3539;1569;1036
8;2010;22.02.10;17898;169;46;90;163;339;469;681;835;1353;2019;2463;3218;3432;1624;997
9;2010;01.03.10;17215;164;56;77;205;295;464;647;828;1238;1988;2322;3145;3285;1507;994
10;2010;08.03.10;17387;148;52;72;171;308;464;633;779;1267;2035;2368;3225;3368;1485;1012
11;2010;15.03.10;17683;158;59;85;179;278;497;649;791;1316;2018;2432;3199;3475;1546;1001
12;2010;22.03.10;16831;185;47;77;163;300;445;619;734;1271;1957;2356;3065;3159;1527;926
13;2010;29.03.10;16452;179;44;72;157;300;470;646;713;1245;1894;2230;2952;3159;1494;897
14;2010;05.04.10;16025;165;52;82;168;299;458;631;723;1235;1848;2239;2840;3007;1383;895
15;2010;12.04.10;16200;170;52;89;176;302;442;640;700;1204;1885;2189;3010;3139;1350;852
16;2010;19.04.10;16367;170;46;71;188;301;469;606;718;1260;1922;2233;2970;3115;1433;865
17;2010;26.04.10;16356;160;34;64;168;295;451;626;763;1147;1918;2276;2961;3158;1401;934
18;2010;03.05.10;15795;158;47;86;175;310;486;605;765;1186;1917;2167;2771;2963;1366;793
19;2010;10.05.10;15778;162;55;78;184;283;431;647;772;1201;1855;2239;2766;2903;1372;830
20;2010;17.05.10;15788;175;51;71;149;271;455;669;762;1181;1887;2165;2849;2886;1382;835
21;2010;24.05.10;16029;177;49;78;154;278;472;648;794;1176;1830;2174;2836;3026;1502;835
22;2010;31.05.10;15497;170;50;81;140;319;467;601;766;1174;1853;2180;2733;2792;1370;801
23;2010;07.06.10;15919;165;48;86;169;301;470;625;766;1167;1878;2094;2854;3017;1452;827
24;2010;14.06.10;15106;185;51;69;165;294;427;617;782;1123;1766;2192;2684;2672;1296;783
25;2010;21.06.10;15514;178;41;68;161;302;429;611;694;1179;1891;2064;2805;2933;1398;760
26;2010;28.06.10;17346;196;48;92;198;306;420;689;793;1262;2039;2390;3102;3385;1499;927
27;2010;05.07.10;16982;174;52;88;166;314;474;671;774;1235;2064;2295;3051;3157;1531;936
28;2010;12.07.10;18026;192;50;82;170;319;503;626;783;1281;2049;2386;3315;3540;1722;1008
29;2010;19.07.10;15543;182;45;91;152;276;422;605;796;1168;1858;2042;2807;2904;1426;769
30;2010;26.07.10;14864;168;58;63;149;292;437;584;732;1128;1783;2034;2617;2735;1308;776
31;2010;02.08.10;15097;156;58;86;166;289;478;595;793;1129;1775;2013;2661;2787;1345;766
32;2010;09.08.10;15406;158;48;83;155;305;476;545;730;1145;1878;2021;2790;2883;1421;768
33;2010;16.08.10;15362;168;40;72;158;296;470;625;724;1078;1814;2135;2739;2880;1380;783
34;2010;23.08.10;15215;164;47;62;131;298;425;576;735;1136;1783;2062;2737;2820;1421;818
35;2010;30.08.10;14979;173;56;69;146;291;454;640;763;1087;1781;2042;2646;2737;1304;790
36;2010;06.09.10;15603;199;64;86;165;275;469;590;744;1175;1817;2135;2832;2854;1408;790
37;2010;13.09.10;15464;180;54;67;181;316;447;625;721;1141;1857;2039;2774;2837;1417;808
38;2010;20.09.10;16031;158;54;74;176;303;426;628;773;1184;1894;2148;2834;3058;1458;863
39;2010;27.09.10;15621;154;49;65;178;303;429;619;785;1102;1847;2191;2807;2873;1399;820
40;2010;04.10.10;16086;175;50;69;170;276;497;635;772;1179;1878;2218;2917;2946;1440;864
41;2010;11.10.10;15909;133;56;70;152;296;454;634;765;1215;1917;2167;2837;2930;1426;857
42;2010;18.10.10;16061;153;41;84;133;300;451;632;793;1135;1963;2177;2797;3004;1507;891
43;2010;25.10.10;16457;142;43;68;150;294;500;556;759;1158;1889;2217;2965;3212;1640;864
44;2010;01.11.10;15981;186;41;75;128;297;462;606;776;1097;1848;2196;2899;2927;1523;920
45;2010;08.11.10;16316;184;42;73;171;323;488;624;764;1130;1923;2266;2905;3086;1517;820
46;2010;15.11.10;16002;165;42;60;154;300;449;600;876;1109;1889;2187;2893;2964;1472;842
47;2010;22.11.10;16553;155;52;81;161;325;467;569;818;1147;1923;2251;3021;3189;1580;814
48;2010;29.11.10;17065;136;55;75;155;303;466;678;834;1225;1998;2391;3055;3205;1598;891
49;2010;06.12.10;17781;162;58;82;169;323;471;628;882;1216;2104;2422;3253;3389;1689;933
50;2010;13.12.10;17683;172;45;77;157;309;447;668;868;1268;2081;2409;3231;3304;1701;946
51;2010;20.12.10;18030;173;53;68;166;315;487;684;900;1244;2069;2420;3270;3500;1769;912
52;2010;27.12.10;17882;164;49;67;152;341;448;620;888;1269;2001;2420;3274;3381;1807;1001
53;2011;03.01.11;18087;148;54;79;159;293;493;697;936;1184;2059;2479;3264;3458;1831;953
54;2011;10.01.11;17495;174;38;73;164;301;505;654;826;1168;1987;2406;3118;3416;1688;977
55;2011;17.01.11;16652;194;41;65;158;311;480;698;852;1144;1950;2300;2931;3099;1531;898
56;2011;24.01.11;16909;168;53;82;146;314;487;667;857;1218;1931;2290;3032;3195;1601;868
57;2011;31.01.11;17681;177;60;67;184;301;468;734;876;1225;2014;2459;3247;3235;1699;935
58;2011;07.02.11;17346;182;57;82;152;319;466;691;878;1171;2067;2362;3051;3284;1683;901
59;2011;14.02.11;17294;176;40;78;164;298;499;659;858;1173;2020;2374;3091;3249;1682;933
60;2011;21.02.11;17237;176;52;73;155;308;501;661;824;1220;1991;2341;3062;3235;1707;931
61;2011;28.02.11;17266;174;52;73;172;321;534;654;833;1194;2054;2364;3089;3160;1692;900
62;2011;07.03.11;17722;154;66;73;161;311;507;645;853;1175;2029;2434;3163;3355;1879;917
63;2011;14.03.11;17345;148;50;72;158;284;482;659;876;1115;2056;2332;3099;3297;1804;913
64;2011;21.03.11;17057;177;48;61;151;310;465;633;855;1191;1964;2349;3056;3254;1690;853
65;2011;28.03.11;17410;174;70;74;200;277;509;640;803;1221;1955;2350;3045;3428;1746;918
66;2011;04.04.11;15935;179;56;67;142;308;434;621;840;1037;1858;2134;2862;2911;1623;863
67;2011;11.04.11;16158;154;45;79;151;255;469;599;851;1119;1913;2236;2863;3078;1611;735
68;2011;18.04.11;16907;165;63;70;148;324;477;632;850;1164;1971;2271;3039;3111;1744;878
69;2011;25.04.11;16048;166;56;63;136;277;420;593;773;1094;1827;2203;2866;3106;1636;832
70;2011;02.05.11;16171;170;39;65;151;333;467;693;806;1055;1881;2258;2901;2923;1634;795
71;2011;09.05.11;16306;152;42;57;152;299;478;658;807;1093;1936;2287;2885;3113;1584;763
72;2011;16.05.11;15978;174;54;65;140;296;465;685;770;1086;1908;2127;2837;2968;1654;749
73;2011;23.05.11;15270;142;36;68;150;304;443;597;776;1045;1840;2137;2662;2821;1552;697
74;2011;30.05.11;15698;153;55;81;134;299;454;651;816;1087;1866;2156;2744;2881;1540;781
75;2011;06.06.11;15239;174;51;64;132;323;414;652;822;1092;1747;2150;2656;2713;1575;674
76;2011;13.06.11;15209;170;58;69;171;282;394;589;787;999;1816;2014;2720;2843;1546;751
77;2011;20.06.11;14879;162;44;49;131;307;455;582;828;1036;1805;2066;2609;2693;1448;664
78;2011;27.06.11;15322;172;53;64;126;293;456;607;846;1107;1808;2097;2629;2814;1535;715
79;2011;04.07.11;15503;162;49;83;154;296;430;630;838;1035;1775;2130;2748;2874;1561;738
80;2011;11.07.11;15228;161;37;74;157;291;396;617;766;1052;1783;2099;2708;2784;1548;755
81;2011;18.07.11;14783;176;42;72;143;261;398;603;748;1020;1730;2067;2665;2693;1463;702
82;2011;25.07.11;14976;160;52;61;134;285;392;610;779;957;1813;2049;2648;2805;1493;738
83;2011;01.08.11;15920;151;46;68;165;299;439;622;808;1066;1930;2227;2834;2858;1663;744
84;2011;08.08.11;15104;164;56;72;146;308;455;552;756;1003;1756;2069;2694;2833;1577;663
85;2011;15.08.11;15348;172;50;78;130;282;435;624;808;1006;1888;2074;2594;2798;1620;789
86;2011;22.08.11;15887;198;50;72;158;301;430;652;815;1053;1820;2141;2869;2901;1653;774
87;2011;29.08.11;15125;168;47;70;162;274;496;588;781;1008;1757;2144;2668;2727;1555;680
88;2011;05.09.11;15109;160;44;60;158;325;415;571;774;994;1786;2176;2659;2720;1560;707
89;2011;12.09.11;14887;149;34;78;172;249;462;589;818;919;1791;2131;2572;2710;1502;711
90;2011;19.09.11;15139;156;51;72;168;257;429;615;792;994;1733;2111;2703;2823;1537;698
91;2011;26.09.11;15539;171;47;63;155;280;434;634;802;1029;1871;2121;2728;2832;1649;723
92;2011;03.10.11;15576;137;47;75;157;272;464;610;822;1067;1890;2106;2713;2831;1664;721
93;2011;10.10.11;15999;148;43;52;152;282;451;648;848;976;1910;2193;2824;2946;1778;748
94;2011;17.10.11;16371;140;56;64;159;301;463;614;823;1040;1886;2303;2991;3060;1687;784
95;2011;24.10.11;17142;163;51;71;163;305;475;650;890;1082;1919;2382;3059;3162;1886;884
96;2011;31.10.11;16736;177;46;63;154;316;491;676;824;1068;1937;2195;2961;3070;1915;843
97;2011;07.11.11;16378;145;40;57;134;293;484;602;829;1023;1871;2259;2977;3023;1796;845
98;2011;14.11.11;16914;161;43;49;137;268;498;643;858;1069;1965;2369;2942;3220;1840;852
99;2011;21.11.11;16916;164;58;66;142;279;458;704;849;998;1887;2326;3056;3122;1961;846
100;2011;28.11.11;17539;167;64;61;148;281;469;610;925;1095;2009;2439;3106;3334;1990;841
101;2011;05.12.11;17688;176;57;65;153;281;427;622;851;1134;2061;2397;3197;3343;1999;925
102;2011;12.12.11;17806;158;54;66;138;311;462;603;827;1125;2004;2587;3145;3338;2067;921
103;2011;19.12.11;17798;160;53;71;154;292;502;678;855;1061;2036;2375;3167;3384;2113;897
104;2011;26.12.11;17723;165;43;63;152;296;461;610;890;1074;2016;2360;3203;3364;2134;892
105;2012;02.01.12;17762;166;55;77;152;312;480;653;869;1089;2038;2339;3118;3460;2037;917
106;2012;09.01.12;17145;156;50;56;166;300;475;609;881;1043;1852;2361;3108;3228;2003;857
107;2012;16.01.12;17454;172;45;69;160;306;454;567;888;1073;2062;2343;3183;3257;2017;858
108;2012;23.01.12;16919;149;56;58;145;300;457;577;915;1029;1938;2352;2943;3181;1984;835
109;2012;30.01.12;17631;146;40;58;134;278;482;663;903;1083;2051;2406;3072;3311;2140;864
110;2012;06.02.12;18370;159;43;70;135;305;495;691;923;1083;2106;2531;3235;3495;2144;955
111;2012;13.02.12;18914;172;47;71;152;312;474;677;910;1068;2156;2555;3408;3646;2295;971
112;2012;20.02.12;18629;161;50;60;133;298;455;655;873;1095;1997;2518;3422;3578;2326;1008
113;2012;27.02.12;18149;154;36;66;122;288;448;658;887;1087;2039;2461;3243;3546;2201;913
114;2012;05.03.12;17956;138;47;60;173;293;476;651;884;1066;1890;2531;3220;3461;2157;909
115;2012;12.03.12;17957;140;50;52;175;292;445;666;840;1062;2095;2454;3285;3351;2138;912
116;2012;19.03.12;17341;143;43;67;152;285;437;643;838;1081;2041;2371;3078;3282;2028;852
117;2012;26.03.12;17111;148;46;57;163;302;449;617;836;1082;1960;2404;3073;3170;2043;761
118;2012;02.04.12;17527;151;44;61;130;307;462;641;906;1088;1964;2451;3138;3342;2014;828
119;2012;09.04.12;16912;141;52;68;159;267;443;590;805;1011;1913;2348;3009;3188;2091;827
120;2012;16.04.12;17109;161;38;67;148;303;444;654;849;1040;1911;2375;3073;3174;2062;810
121;2012;23.04.12;16974;155;52;57;139;305;448;658;837;1043;1984;2318;3049;3153;1968;808
122;2012;30.04.12;16563;134;51;62;123;303;444;638;799;1045;1913;2316;2946;3080;1944;765
123;2012;07.05.12;15936;129;46;72;163;290;451;613;809;1010;1891;2254;2749;2898;1869;692
124;2012;14.05.12;15807;139;44;58;136;270;482;636;809;984;1800;2269;2735;2938;1833;674
125;2012;21.05.12;16533;147;42;81;149;277;468;651;860;1091;1847;2360;2936;3033;1900;691
126;2012;28.05.12;15507;160;43;58;146;270;464;597;798;963;1817;2176;2745;2830;1781;659
127;2012;04.06.12;15560;171;54;65;133;267;463;601;851;965;1840;2110;2774;2829;1780;657
128;2012;11.06.12;15398;167;40;70;134;280;448;580;827;1025;1773;2093;2770;2798;1761;632
129;2012;18.06.12;15550;158;61;70;145;287;451;626;840;1001;1737;2141;2713;2819;1833;668
130;2012;25.06.12;15693;164;45;54;128;256;457;629;808;995;1851;2223;2694;2866;1880;643
131;2012;02.07.12;15832;168;56;82;144;277;476;572;846;1022;1866;2241;2755;2839;1833;655
132;2012;09.07.12;14882;155;52;64;104;268;449;603;787;952;1682;2106;2639;2698;1681;642
133;2012;16.07.12;15026;125;54;63;146;257;421;606;811;963;1753;2103;2611;2748;1702;663
134;2012;23.07.12;16293;185;39;63;132;290;455;622;854;1001;1959;2204;2905;2961;1913;710
135;2012;30.07.12;15437;155;51;60;138;276;437;595;816;961;1792;2160;2733;2800;1786;677
136;2012;06.08.12;14639;153;47;76;128;235;476;589;727;920;1615;2111;2627;2638;1684;613
137;2012;13.08.12;15597;156;52;64;146;260;446;598;817;976;1813;2256;2644;2861;1799;709
138;2012;20.08.12;16455;153;44;74;148;284;427;590;886;985;1830;2402;2956;3003;1978;695
139;2012;27.08.12;14688;141;44;77;108;303;398;609;772;963;1742;2085;2476;2671;1711;588
140;2012;03.09.12;14983;169;31;54;114;295;429;605;738;934;1706;2088;2629;2825;1718;648
141;2012;10.09.12;15494;138;42;65;134;281;447;637;810;983;1793;2220;2722;2766;1774;682
142;2012;17.09.12;15553;163;42;43;141;277;475;634;889;935;1782;2088;2804;2790;1851;639
143;2012;24.09.12;15974;153;42;69;135;265;453;601;788;1028;1904;2273;2881;2895;1826;661
144;2012;01.10.12;15818;142;50;60;166;263;430;608;769;974;1780;2239;2776;3034;1876;651
145;2012;08.10.12;16254;147;46;64;141;260;433;627;849;1015;1864;2387;2770;2997;1983;671
146;2012;15.10.12;16775;159;53;64;162;321;446;638;867;1046;1865;2402;2901;3045;2069;737
147;2012;22.10.12;16356;130;51;58;143;276;426;642;845;997;1880;2304;2875;3046;1952;731
148;2012;29.10.12;17020;158;51;56;129;260;466;673;841;1097;1941;2420;2981;3041;2115;791
149;2012;05.11.12;16844;114;43;68;134;297;471;646;879;1035;1849;2401;2960;3087;2148;712
150;2012;12.11.12;16774;159;41;55;158;299;430;645;910;1086;1845;2372;3016;3039;2038;681
151;2012;19.11.12;16919;120;55;55;156;283;481;602;890;976;1879;2387;3057;3093;2127;758
152;2012;26.11.12;17074;140;42;62;137;315;468;622;886;1037;1973;2414;3030;3160;2082;706
153;2012;03.12.12;17403;155;48;63;144;291;452;625;887;1092;1971;2454;3088;3249;2196;688
154;2012;10.12.12;18104;164;54;74;113;262;496;638;923;1117;2035;2532;3215;3421;2276;784
155;2012;17.12.12;17986;134;41;68;138;262;499;657;962;1092;1910;2574;3159;3445;2269;776
156;2012;24.12.12;17835;129;53;66;119;286;470;656;885;1004;1989;2489;3201;3294;2390;804
157;2013;31.12.12;18243;145;61;72;144;303;526;685;903;1051;1933;2599;3220;3480;2292;829
158;2013;07.01.13;17933;157;41;61;152;310;451;686;917;1086;1990;2531;3114;3347;2315;775
159;2013;14.01.13;18251;138;42;58;128;291;529;679;904;1043;1965;2550;3299;3383;2382;860
160;2013;21.01.13;18861;150;50;61;116;282;496;729;893;1155;2127;2660;3271;3564;2415;892
