date	impfungen	impfungen_kumulativ	impfungen_biontech	impfungen_biontech_kumulativ	impfungen_biontech_min1	impfungen_biontech_min1_kumulativ	impfungen_biontech_gi	impfungen_biontech_gi_kumulativ	impfungen_biontech_boost1	impfungen_biontech_boost1_kumulativ	impfungen_biontech_boost2	impfungen_biontech_boost2_kumulativ	impfungen_moderna	impfungen_moderna_kumulativ	impfungen_moderna_min1	impfungen_moderna_min1_kumulativ	impfungen_moderna_gi	impfungen_moderna_gi_kumulativ	impfungen_moderna_boost1	impfungen_moderna_boost1_kumulativ	impfungen_moderna_boost2	impfungen_moderna_boost2_kumulativ	impfungen_astra	impfungen_astra_kumulativ	impfungen_astra_min1	impfungen_astra_min1_kumulativ	impfungen_astra_gi	impfungen_astra_gi_kumulativ	impfungen_astra_boost1	impfungen_astra_boost1_kumulativ	impfungen_astra_boost2	impfungen_astra_boost2_kumulativ	impfungen_johnson	impfungen_johnson_kumulativ	impfungen_johnson_min1	impfungen_johnson_min1_kumulativ	impfungen_johnson_gi	impfungen_johnson_gi_kumulativ	impfungen_johnson_boost1	impfungen_johnson_boost1_kumulativ	impfungen_johnson_boost2	impfungen_johnson_boost2_kumulativ	impfungen_novavax	impfungen_novavax_kumulativ	impfungen_novavax_min1	impfungen_novavax_min1_kumulativ	impfungen_novavax_gi	impfungen_novavax_gi_kumulativ	impfungen_novavax_boost1	impfungen_novavax_boost1_kumulativ	impfungen_novavax_boost2	impfungen_novavax_boost2_kumulativ	personen_min1	personen_min1_kumulativ	impfungen_min1	impfungen_min1_kumulativ	impfquote_min1	personen_gi	personen_gi_kumulativ	impfungen_gi	impfungen_gi_kumulativ	impfquote_gi	personen_boost1	personen_boost1_kumulativ	impfungen_boost1	impfungen_boost1_kumulativ	impfquote_boost1	personen_boost2	personen_boost2_kumulativ	impfungen_boost2	impfungen_boost2_kumulativ	impfquote_boost2
2020-12-27	24429	24429	24420	24420	24420	24420	0	0	0	0	0	0	8	8	8	8	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24429	24429	24429	24429	0.00029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-28	18007	42436	18005	42425	18005	42425	0	0	0	0	0	0	1	9	1	9	0	0	0	0	0	0	1	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18007	42436	18007	42436	0.00051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-29	50065	92501	50064	92489	50064	92489	0	0	0	0	0	0	0	9	0	9	0	0	0	0	0	0	1	3	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50065	92501	50065	92501	0.00111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-30	64088	156589	64087	156576	64087	156576	0	0	0	0	0	0	1	10	1	10	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64088	156589	64088	156589	0.00188	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2020-12-31	49939	206528	49937	206513	49937	206513	0	0	0	0	0	0	2	12	2	12	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49939	206528	49939	206528	0.00248	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-01	25672	232200	25651	232164	25651	232164	0	0	0	0	0	0	15	27	15	27	0	0	0	0	0	0	4	7	4	7	0	0	0	0	0	0	2	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25672	232200	25672	232200	0.00279	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-02	47804	280004	47801	279965	47801	279965	0	0	0	0	0	0	1	28	1	28	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	2	4	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	47804	280004	47804	280004	0.00337	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-03	22573	302577	22566	302531	22566	302531	0	0	0	0	0	0	7	35	7	35	0	0	0	0	0	0	0	7	0	7	0	0	0	0	0	0	0	4	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	22573	302577	22573	302577	0.00364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-04	46363	348940	46333	348864	46333	348864	0	0	0	0	0	0	11	46	11	46	0	0	0	0	0	0	1	8	1	8	0	0	0	0	0	0	18	22	18	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46363	348940	46363	348940	0.0042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2021-01-05	52484	401424	52480	401344	52480	401344	0	0	0	0	0	0	4	50	4	50	0	0	0	0	0	0	0	8	0	8	0	0	0	0	0	0	0	22	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52484	401424	52484	401424	0.00483	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
